id,config
1,18 N7
2,18 N2
3,18 N3
4,18 N4
5,18 N9
6,18 N10
7,18 N11
8,18 N12
9,19 N7
10,19 N2
11,19 N3
12,19 N4
13,19 N9
14,19 N10
15,19 N11
16,19 N12
17,20 N7
18,21 N7
19,22 N7
20,24 N7
21,20 N2
22,21 N2
23,22 N2
24,24 N2
25,20 N3
26,21 N3
27,22 N3
28,24 N3
29,20 N4
30,21 N4
31,22 N4
32,24 N4
33,20 N1
34,21 N1
35,22 N1
36,24 N1
37,20 N5
38,21 N5
39,22 N5
40,24 N5
41,18 N6
42,19 N6
43,20 N6
44,21 N6
45,22 N6
46,24 N6
47,20 N12
48,21 N12
49,22 N12
50,24 N12
51,20 N8
52,21 N8
53,22 N8
54,24 N8
55,20 N9
56,21 N9
57,22 N9
58,24 N9
59,20 N10
60,21 N10
61,22 N10
62,24 N10
63,20 N11
64,21 N11
65,22 N11
66,24 N11
67,2 N7
68,9 N7
69,2 N2
70,2 N3
71,2 N4
72,2 N9
73,2 N10
74,2 N11
75,9 N2
76,9 N3
77,9 N4
78,9 N9
79,9 N10
80,9 N11
81,2 N12
82,9 N12
83,2 N6
84,9 N6
