topic,app,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
intrusiondetection,app36,0.209643383,0.212470482,0.205695391,0.21009974,0.207131865,0.207173458,0.205940212,0.208048475,0.20281937,0.207339717,0.202267601,0.210764169,0.213792242,0.206850413,0.201119361,0.206722231,0.208624409,0.206999593,0.196581538,0.209011059,0.194064933,0,0.208262755,0.209226835,0.207426797,0.198044337,0.20650203,0.20805571,0.207814901,0.20885316,0.207128862,0,0.2073415,0.209234803,0.204716666,0.211012015,0.192214403,0.209833723,0.207048057,0.212271373,0.205935013,0.207811181,0.194116177,0.20679743,0.212157581,0.209795629,0.207853627,0.208565195,0.206900242,0.208846079,0.205878999,0.20237028,0.206244972,0.210904807,0.209272972,0.20450276,0.205661028,0.211614555,0.207570166,0.211101294,0.196923691,0.21048739,0.207702038,0,0.205473583
smartthings,app1,0.176582816,0.177412042,0.173840423,0.178963165,0.165044312,0.163820663,0.170189032,0.165702444,0.167371035,0.169034855,0.165368747,0.157377075,0.181390908,0.169823006,0,0.17835476,0,0.169400789,0.155819878,0.167410174,0.156959093,0.128495137,0.178998639,0.16664536,0.172657403,0.168949726,0.168570329,0.169471203,0.176274471,0.16124446,0.166331718,0.128134676,0.170735543,0.176287359,0.173771034,0.172110672,0.160658643,0.18021966,0.164295191,0.166112092,0.176892197,0.167677131,0.151026896,0.172954754,0.173313688,0.166548081,0.172807858,0.168343414,0.167760065,0.180237426,0.16035419,0.174325264,0.17805362,0.166791774,0,0.171986218,0.168947719,0.159275688,0.164275246,0.170603481,0.156216748,0.160360503,0.166515989,0.128661107,0.172209903
firedetection,app23,0.201738072,0.199213095,0.212813028,0.209886234,0.20267111,0.21039489,0.216263527,0.201077379,0.21306894,0.203805113,0.212008665,0.203617425,0.222966659,0,0.212065829,0.199319925,0.211760915,0.203909993,0.192046878,0.210701849,0.194321225,0.168216473,0.205622788,0.210407288,0.214926941,0.197546949,0.21226991,0.210341198,0.217496533,0.201290227,0.211207591,0.165726317,0.199910302,0.206506373,0.212650919,0.205815355,0.19163165,0.210043989,0.206152517,0.202191043,0.207288124,0.21746612,0.190183089,0,0.199550073,0.196794658,0.213936457,0.218873162,0.21430296,0.199515944,0.204758376,0.205655453,0.206778831,0,0.21129645,0.203905387,0.21105601,0.207020471,0.210361551,0.218143007,0.199852719,0.206410438,0.204624592,0.166961943,0.200412372
firedetection,app22,0.198075069,0.203840988,0.220871636,0.20636304,0.204627818,0.21039489,0.217502224,0.195271863,0.202060514,0.195535493,0.211856643,0.205748258,0.217824169,0,0.215623945,0.201633401,0.217134218,0.208862787,0.200637943,0.210968019,0.194222858,0.167988127,0.210469567,0.214215361,0.216145792,0.203022376,0.20755158,0.203622426,0.20732607,0.205693695,0.201541864,0.164719195,0.206221939,0.206640153,0.211366191,0.2072425,0.196422707,0.195995677,0.199605872,0.203434245,0.209588627,0.21407508,0.189930053,0,0.19688222,0.202745727,0.221275408,0.208254152,0.215069635,0.19842946,0.206709323,0.207019338,0.216557188,0,0.20490749,0.194080321,0.21300343,0.199833886,0.211225855,0.210660217,0.196154494,0.201387969,0.205845593,0.167726316,0.199250392
videosurveillance,app2,0.207425117,0.20672847,0.205488976,0.207239558,0.207435787,0.207053787,0.210164522,0.210615537,0.206693086,0.207397023,0.207059751,0.211462719,0.206662805,0.206212057,0.205206659,0.209181983,0.208629628,0.208871833,0.199409825,0.207910922,0,0.167989617,0.207618879,0.205512259,0.207693982,0.19955904,0.20749934,0.209710159,0.206437777,0.209287315,0.205637999,0.169531994,0.20663859,0.210488298,0.205669722,0.210095179,0,0.209326901,0.205913022,0.210545673,0.198290835,0.20995558,0,0.207918201,0.209038246,0.206966423,0.207209281,0.20929381,0.213429895,0.208551327,0.207789576,0.206360226,0.205804623,0.204865329,0.207280579,0.208536264,0.20821986,0.209968391,0.207675722,0.207600517,0.197277302,0.207748508,0.206734683,0.167388142,0.20714148
bms,app2,0.16993068,0.170812874,0.167792003,0.169695515,0.169316982,0.169822361,0.168787851,0.169388925,0.168479608,0.169726549,0.167858888,0.170050486,0.169935216,0.171792303,0.171257333,0.171100762,0.170941736,0.169894553,0,0.169982322,0.155220959,0.129026338,0.169668447,0.171736256,0.169449785,0,0.169416566,0.170367518,0.169874197,0.169184824,0.169234683,0.130059024,0.167782362,0.169328928,0.169439924,0.168637053,0.155466791,0.168714525,0.167850248,0.168625293,0.168362323,0.168630377,0.153757373,0.17054099,0.171065766,0.170567575,0.169869532,0.16933428,0.168884221,0.16853449,0.170076206,0.167561424,0.169054659,0.170482199,0.169472036,0.168674797,0.167688981,0.171456605,0.169623929,0.171544094,0,0.168372774,0.170133255,0.130199094,0.166591291
energymanagement,app1,0.169262393,0.166781481,0.17023433,0.169324424,0.170569346,0.169351206,0.169683824,0.170153835,0,0.167896708,0.168640233,0.168072714,0.172616638,0.170204927,0.166921559,0.171444534,0.171079477,0.169368973,0.160171595,0.173695896,0.154218236,0.12830175,0.169115053,0.167555729,0.166375182,0.162994993,0.170515692,0.169564019,0.17018962,0.169423461,0.171162339,0.129255967,0.167657182,0.167141441,0.168837763,0.171786996,0.151152595,0.171950354,0.16770064,0.167332816,0,0.170627534,0.154285053,0.169363061,0.170971436,0.17031078,0.16954416,0.170748152,0.168185467,0.174167684,0.169772504,0,0.166893883,0.16703955,0.171243609,0.170044232,0.169826354,0.170087936,0.17023825,0.170170521,0.16243753,0.168436474,0.166812497,0.127575074,0.16728735
energymanagement,app2,0.169685261,0.168201805,0.172079037,0.168400275,0.167814198,0.170477072,0.170346689,0.170379381,0,0.166512685,0.170683657,0.16762382,0.17049,0.17132488,0.168280294,0.172214585,0.170837672,0.17039523,0.160053774,0.170678803,0.151214597,0.129332115,0.171200311,0.165954132,0.165202182,0.16310349,0.167389362,0.169673347,0.169200724,0.170598631,0.170011571,0.129621992,0.1688872,0.168648868,0.170376276,0.171751466,0.154527789,0.170010708,0.166150966,0.168080656,0,0.170640141,0.154458659,0.16880596,0.170538235,0.170197744,0.168292482,0.17055968,0.167766263,0.172886982,0.166834569,0,0.169790017,0.168990439,0.169182337,0.174379948,0.168649063,0.170232243,0.169397704,0.171100009,0.162719157,0.165677117,0.167159811,0.128122635,0.171326724
bms,app21,0.170438952,0.171465347,0.167238808,0.170037013,0.170449149,0.169572362,0.168890672,0.169624389,0.164659686,0.169240801,0.169875354,0.169326516,0.168728232,0.17028202,0.165484008,0.17142394,0.172558473,0.168713292,0,0.167464117,0.155046326,0.130011839,0.169325737,0.173484384,0.170968921,0,0.170835885,0.169288391,0.170127365,0.169564136,0.168695862,0.130586608,0.165396587,0.169371727,0.170148597,0.168404407,0.153972653,0.169062438,0.167317573,0.169244858,0.165968723,0.168642125,0.154831385,0.170090757,0.171435588,0.170143786,0.16829609,0.16903003,0.16889387,0.169030466,0.169369726,0.166775489,0.169174517,0.168740394,0.169495299,0.168146703,0.168996778,0.171800962,0.168902414,0.170351943,0,0.167554444,0.168848389,0.129120312,0.168866877
videosurveillance,app38,0.208331394,0.200775946,0.205158146,0.207848932,0.210108885,0.208161278,0.204578846,0.207695916,0.202351312,0.206612095,0.207420328,0.210441431,0.207124882,0.210417212,0.205051536,0.209365753,0.208586602,0.209079363,0.196203038,0.207870094,0,0.168272362,0.207424185,0.207564355,0.208649148,0.200517905,0.208963114,0.208626339,0.207579603,0.206579811,0.205984655,0.169264414,0.207780449,0.206671469,0.207403846,0.210508973,0,0.204026622,0.209075546,0.210460925,0.206724952,0.208578235,0,0.206647109,0.210018211,0.204782407,0.206908425,0.206909719,0.206690618,0.21008579,0.206679817,0.206303741,0.205716953,0.207051601,0.207398564,0.208104213,0.20774246,0.212185989,0.20588031,0.207046273,0.197760297,0.208273048,0.207509181,0.168221766,0.208899714
