"topic","app","response_time","throughput","drop_rate"
"intrusiondetection","app36","0.20547358256143247","0.8943484271688877","0.0"
"smartthings","app1","0.17220990307806355","0.0037910144268199007","0.0"
"firedetection","app23","0.20041237155329797","0.004023785141170906","0.0"
"firedetection","app22","0.19925039153939866","0.004023785141170906","0.0"
"videosurveillance","app2","0.20714147960374502","0.2704297399897274","0.0"
"bms","app2","0.1665912905924907","0.3089325872368603","0.0"
"energymanagement","app1","0.1672873504188958","0.06341401608124936","0.0"
"energymanagement","app2","0.17132672421807568","0.06341401608124936","0.0"
"bms","app21","0.168866877164497","0.3089325872368603","0.0"
"videosurveillance","app38","0.20889971373668856","0.2704297399897274","0.0"
"printing","app11","0.17357382446549982","0.01171462113679148","0.0"
"videosurveillance","app36","0.2083572266035459","0.2704297399897274","0.0"
"occupancymanagement","app12","0.17597284178456313","0.005448767531936157","0.0"
"firedetection","app1","0.20436310360068982","0.004023785141170906","0.0"
"occupancymanagement","app21","0.1742558088175516","0.005448767531936157","0.0"
"amazonecho","app21","0.0","0.0","0.0"
"printing","app2","0.16838171646969158","0.01171462113679148","0.0"
"smartthings","app22","0.1719625619947068","0.0037910144268199007","0.0"
"intrusiondetection","app21","0.2067784758491546","0.8943484271688877","0.0"
"intrusiondetection","app2","0.20527101689993724","0.8943484271688877","0.0"
